Area ,Price
3370,2380000
1910,1400000
2910,1200000
3310,838000
1880,805000
1700,790000
3660,785000
1550,750000
1440,750000
1300,698000
2820,675000
1640,650000
1520,640000
2710,630000
1470,626000
2820,625000
1560,625000
1360,615000
2730,612500
3240,604000
1970,588500
3310,555000
1140,550000
2910,550000
2190,499950
1130,495000
2190,491500
880,490000
2710,482000
1460,470000
1710,463000
2680,459990
1570,452500
1270,445700
1080,440000
800,440000
1770,439950
1970,437500
1600,436110
1450,435000
1070,430000
1000,420000
1570,419000
1930,407500
1650,403000
2300,400000
1040,385000
1560,382500
3110,367500
1090,365000
1930,342000
1350,335000
1580,335000
1160,315000
1340,313000
850,308500
2540,300000
1280,295000
1090,287200
2200,285000
1360,285000
1800,284000
1180,275000
1480,260000
1370,257950
1200,242500
1210,235000
2920,625000
900,553000
1130,379880
1010,310000
1990,783500
2680,775000
1140,628000
1570,365000
2010,331950
9410,2280000
2220,1430000
2850,1400000
4340,1090000
1690,1030000
1330,900000
3410,890000
3200,890000
3690,865000
1300,855000
1610,831000
3400,830000
2780,823000
3180,800866
3240,800000
1330,787000
2730,780000
1810,770000
1620,755000
2010,740000
3180,736500
2450,712198
2490,705380
1680,670000
1660,665000
1050,657100
1400,650000
2440,631625
1210,627000
1480,620000
1080,618500
1960,615000
1670,600000
1040,600000
1520,585000
1320,580000
1330,570000
1900,560000
1940,555000
1140,549000
2910,549000
1370,541125
1110,531000
1810,525888
780,524000
1790,509900
1160,501000
2910,499000
1600,497300
1470,487585
1340,485000
3040,478000
1480,449250
1540,435000
1590,419190
1410,418000
1408,416286
1540,415000
1360,410000
1410,406100
1140,405000
2110,400000
840,400000
2230,398750
1750,384900
1140,379950
1571,366750
1120,340000
1160,340000
1140,329950
2370,328000
2310,309950
1880,309950
1050,300000
1450,287000
1550,249950
1000,245000
1200,232000
1240,220000
1120,219900
1340,210000
1430,210000
810,206000
1490,184000
4510,1870000
3930,1800000
2400,1580000
2280,1230000
1970,1140000
1610,1050000
2690,979000
2080,910000
3740,860000
3040,776000
3880,762300
2290,736000
3200,725126
3030,685000
930,675000
3380,655500
1160,650000
2490,650000
1030,612500
1580,610000
2150,609000
2110,606000
1400,599000
3569,580000
1170,575000
2400,563000
3040,562000
2000,561000
1850,535000
1400,533000
1690,530000
1770,525000
2460,520000
1430,518000
1790,515000
2000,513000
1480,500000
740,499000
2020,488000
1420,485000
1160,484000
2740,483500
3470,475000
1030,469000
1180,465000
1020,460000
1340,455000
1100,450000
1520,425000
1710,407000
960,404000
1200,397000
1260,390000
1310,390000
1230,387000
1280,385000
1000,379900
1270,369950
1410,367500
1310,365000
1140,362000
2680,360000
860,353000
2331,345000
1110,345000
720,329350
980,325000
860,313950
1300,312000
1560,295000
2000,284000
1630,280000
1100,279900
1650,272000
1050,250000
1010,234000
900,219000
1320,218000
1060,197000
800,191000
1010,175000
1420,136500
780,78000
4760,3200000
3400,1530000
3560,1500000
2440,1340000
4460,1150000
1890,1110000
3900,1040000
1470,940000
3170,900000
1210,794154
1600,775000
1780,758000
1360,750000
1960,749950
1520,705000
980,690000
1680,675000
3680,675000
3240,651000
2130,640000
2680,630000
1720,630000
2030,618080
1680,610950
1860,600000
2450,599999
1090,599000
1280,581000
1650,575000
1780,568000
3180,560000
1860,560000
3700,540000
2720,535000
1880,535000
1080,530000
1550,526000
1170,519950
1210,515000
2430,510000
1210,503000
1010,500000
1940,500000
990,495000
2656,495000
2245,492000
1010,485000
2180,480500
820,475000
1760,460000
1060,440000
1350,428000
1150,425000
1040,420000
1770,420000
1606,417250
1830,415000
1320,409500
1660,405000
1500,380000
840,379500
1830,375000
1410,365000
820,361280
1620,352000
1010,350000
1630,339950
820,339950
1570,335000
1040,314950
1870,314500
2190,313000
1220,310000
1420,310000
1600,305450
760,300000
1600,280000
1600,275000
760,265000
1030,255000
1250,253000
820,250000
1110,249000
1720,248500
1400,246000
1040,245000
1410,239900
1920,230000
1130,226500
1380,209950
1490,185000
1040,160000
910,100000
3510,1750000
1340,1500000
1910,1310000
3310,1250000
1460,1050000
2190,1040000
2015,988500
1780,980000
1840,930000
2920,868500
1910,835000
1970,830000
3010,785000
1390,780000
2660,753888
1690,719000
3290,716500
1150,712000
1320,660000
1160,647500
1230,636000
820,615000
1750,595000
3160,589900
2250,569000
1870,559950
1050,553650
1780,545000
1970,543200
1220,538000
2550,537500
2280,535000
1170,533000
1980,530000
1540,530000
2430,524000
1060,515000
1410,500000
930,499000
2310,494000
2440,489990
1510,450000
1020,441750
980,438000
1310,437000
1460,424500
1470,413450
1020,405000
2090,403000
1290,402000
1230,385000
3206,375000
960,358000
2150,350000
1590,349000
2460,347500
1480,335000
1550,330000
2320,325900
860,321950
1890,307000
1240,297950
1100,295000
1920,295000
1810,270000
1460,266000
2020,262000
1100,260000
1230,258000
1390,246000
1260,245000
650,235000
790,230000
1390,230000
1190,229000
1100,228000
1050,211000
1490,207000
720,205000
980,134000
520,82500
3000,2400000
6420,2240000
3390,1700000
1960,1370000
4910,1160000
4230,985000
3750,920000
3560,851000
2560,839900
3780,833000
3540,800000
1980,782000
2400,769900
2790,765000
2950,759000
2000,742500
2200,705000
1620,610000
2260,604000
2430,590000
2400,585000
2660,583000
2840,580000
1370,566000
2470,565000
2840,557000
2330,542500
1450,536500
1300,536000
2340,532000
2030,525000
1400,511555
2100,505000
1300,491300
1130,490000
1410,481450
1930,465000
1150,463000
1050,460000
1000,445000
860,445000
1270,431000
1620,428750
3060,415000
2600,402500
1300,387000
1410,382000
1340,376000
1180,360000
1640,352000
1780,336900
1940,330000
1352,325000
1470,325000
798,324000
1170,323000
2310,320000
1160,315000
1430,312000
1380,311100
1060,303500
1200,290000
840,280950
1180,280000
1390,275000
1500,270000
